
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2020-01-03


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 3.65
Magnitude Max:, 3.75
Rrup Min (km):, 10.0
Rrup Max (km):, 50.0
Rjb Min (km):, 10.0
Rjb Max (km):, 50.0
Vs30 Min (m/sec):, 600.0
Vs30 Max (m/sec):, 900.0
D9-95 Min (sec):, 5.0
D9-95 Max (sec):, 95.0
Scale Factor Min:, 0.1
Scale Factor Max:, 10.0
Period Array:, 0.1,1,10
Weight Array:, 1,1,1
Record Sequence Number:, 14938
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 100
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 14938, 0.8408, 4.7613, -, 2.3, 6.0, 0.0, "51177644", 2007, "Carmenet Vineyards_ Sonoma_ CA_ USA", 3.7, strike slip, 14.07, 15.5, 760.0, 0.35, 4.7613, RSN14938_51177644_BKCVSHLN.AT2, RSN14938_51177644_BKCVSHLE.AT2 , RSN14938_51177644_BKCVSHLZ.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-14938 SRSS pSa (g)
0.01,0.015,0.025245,0.025245,0.025245,0.025245
0.02,0.017,0.02518282,0.02518282,0.02518282,0.02518282
0.022,0.017,0.02577281,0.02577281,0.02577281,0.02577281
0.025,0.018,0.02734698,0.02734698,0.02734698,0.02734698
0.029,0.02,0.02718489,0.02718489,0.02718489,0.02718489
0.03,0.02,0.02788204,0.02788204,0.02788204,0.02788204
0.032,0.021,0.02965873,0.02965873,0.02965873,0.02965873
0.035,0.022,0.02806021,0.02806021,0.02806021,0.02806021
0.036,0.022,0.03011008,0.03011008,0.03011008,0.03011008
0.04,0.024,0.03443049,0.03443049,0.03443049,0.03443049
0.042,0.025,0.03341055,0.03341055,0.03341055,0.03341055
0.044,0.025,0.03310594,0.03310594,0.03310594,0.03310594
0.045,0.026,0.03324246,0.03324246,0.03324246,0.03324246
0.046,0.026,0.03282575,0.03282575,0.03282575,0.03282575
0.048,0.027,0.03493702,0.03493702,0.03493702,0.03493702
0.05,0.028,0.03565653,0.03565653,0.03565653,0.03565653
0.055,0.029,0.03613844,0.03613844,0.03613844,0.03613844
0.06,0.03,0.03536858,0.03536858,0.03536858,0.03536858
0.065,0.032,0.04315039,0.04315039,0.04315039,0.04315039
0.067,0.032,0.04186698,0.04186698,0.04186698,0.04186698
0.07,0.033,0.04020324,0.04020324,0.04020324,0.04020324
0.075,0.033,0.04086078,0.04086078,0.04086078,0.04086078
0.08,0.034,0.04400002,0.04400002,0.04400002,0.04400002
0.085,0.034,0.04938891,0.04938891,0.04938891,0.04938891
0.09,0.035,0.04525292,0.04525292,0.04525292,0.04525292
0.095,0.035,0.04298417,0.04298417,0.04298417,0.04298417
0.1,0.035,0.04704637,0.04704637,0.04704637,0.04704637
0.11,0.035,0.05478673,0.05478673,0.05478673,0.05478673
0.12,0.034,0.04561837,0.04561837,0.04561837,0.04561837
0.13,0.034,0.04540964,0.04540964,0.04540964,0.04540964
0.133,0.034,0.04370268,0.04370268,0.04370268,0.04370268
0.14,0.033,0.04649865,0.04649865,0.04649865,0.04649865
0.15,0.032,0.0528534,0.0528534,0.0528534,0.0528534
0.16,0.031,0.05610061,0.05610061,0.05610061,0.05610061
0.17,0.03,0.05061509,0.05061509,0.05061509,0.05061509
