
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2019-12-30


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 3.6
Magnitude Max:, 4.0
Rrup Min (km):, 10.0
Rrup Max (km):, 30.0
Rjb Min (km):, 10.0
Rjb Max (km):, 30.0
Vs30 Min (m/sec):, 360.0
Vs30 Max (m/sec):, 900.0
D9-95 Min (sec):, 5.0
D9-95 Max (sec):, 95.0
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, 51215576
Station Name:, 
User-Defined Maximum Number of Records:, 100
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 19203, 5.9609, 1.0, -, 1.7, 7.9, 0.0, "51215576", 2009, "San Andreas Geophysical Obs._ Hollister_ CA_ USA", 3.8, strike slip, 13.61, 14.15, 643.8, 0.275, 1.0, RSN19203_51215576_BKSAOHLN.AT2, RSN19203_51215576_BKSAOHLE.AT2 , RSN19203_51215576_BKSAOHLZ.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-19203 RotD50 pSa (g)
0.01,0.019,0.00598498,0.00598498,0.00598498,0.00598498
0.02,0.021,0.00641563,0.00641563,0.00641563,0.00641563
0.022,0.022,0.00638274,0.00638274,0.00638274,0.00638274
0.025,0.023,0.00643865,0.00643865,0.00643865,0.00643865
0.029,0.025,0.00680074,0.00680074,0.00680074,0.00680074
0.03,0.025,0.00689668,0.00689668,0.00689668,0.00689668
0.032,0.026,0.00706729,0.00706729,0.00706729,0.00706729
0.035,0.028,0.0075079,0.0075079,0.0075079,0.0075079
0.036,0.028,0.00785709,0.00785709,0.00785709,0.00785709
0.04,0.03,0.01037352,0.01037352,0.01037352,0.01037352
0.042,0.031,0.01158528,0.01158528,0.01158528,0.01158528
0.044,0.032,0.01355589,0.01355589,0.01355589,0.01355589
0.045,0.033,0.01426774,0.01426774,0.01426774,0.01426774
0.046,0.033,0.01475937,0.01475937,0.01475937,0.01475937
0.048,0.034,0.0131508,0.0131508,0.0131508,0.0131508
0.05,0.035,0.01206516,0.01206516,0.01206516,0.01206516
0.055,0.037,0.00972465,0.00972465,0.00972465,0.00972465
0.06,0.039,0.00982313,0.00982313,0.00982313,0.00982313
0.065,0.04,0.0104302,0.0104302,0.0104302,0.0104302
0.067,0.041,0.0115239,0.0115239,0.0115239,0.0115239
0.07,0.041,0.01300486,0.01300486,0.01300486,0.01300486
0.075,0.042,0.01235137,0.01235137,0.01235137,0.01235137
0.08,0.043,0.01335472,0.01335472,0.01335472,0.01335472
0.085,0.044,0.01368322,0.01368322,0.01368322,0.01368322
0.09,0.044,0.01440037,0.01440037,0.01440037,0.01440037
0.095,0.044,0.01288205,0.01288205,0.01288205,0.01288205
0.1,0.044,0.01076527,0.01076527,0.01076527,0.01076527
0.11,0.044,0.01071062,0.01071062,0.01071062,0.01071062
0.12,0.044,0.01115671,0.01115671,0.01115671,0.01115671
0.13,0.043,0.01091709,0.01091709,0.01091709,0.01091709
0.133,0.043,0.01037483,0.01037483,0.01037483,0.01037483
0.14,0.042,0.00892262,0.00892262,0.00892262,0.00892262
0.15,0.041,0.00735423,0.00735423,0.00735423,0.00735423
0.16,0.04,0.00731673,0.00731673,0.00731673,0.00731673
