
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2019-12-30


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 5.4
Magnitude Max:, 5.6
Rrup Min (km):, 10.0
Rrup Max (km):, 30.0
Rjb Min (km):, 10.0
Rjb Max (km):, 30.0
Vs30 Min (m/sec):, 700.0
Vs30 Max (m/sec):, 900.0
D9-95 Min (sec):, 5.0
D9-95 Max (sec):, 95.0
Scale Factor Min:, 0.1
Scale Factor Max:, 10.0
Period Array:, 0.1,1,10
Weight Array:, 1,1,1
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 100
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 4554, 0.3132, 1.7048, -, 7.8, 15.4, 0.0, "L'Aquila (aftershock 2)_ Italy", 2009, "L'Aquila - Parking", 5.4, Normal, 13.99, 19.97, 717.0, 0.0625, 1.7048, RSN4554_L-AQUILA.B_AM440XTE.AT2, RSN4554_L-AQUILA.B_AM440YLN.AT2 , RSN4554_L-AQUILA.B_AM440ZUP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-4554 RotD50 pSa (g)
0.01,0.143,0.0766281,0.0766281,0.0766281,0.0766281
0.02,0.158,0.0795894,0.0795894,0.0795894,0.0795894
0.022,0.164,0.08407688,0.08407688,0.08407688,0.08407688
0.025,0.173,0.0875887,0.0875887,0.0875887,0.0875887
0.029,0.187,0.09659619,0.09659619,0.09659619,0.09659619
0.03,0.19,0.09901626,0.09901626,0.09901626,0.09901626
0.032,0.198,0.10534943,0.10534943,0.10534943,0.10534943
0.035,0.209,0.12766177,0.12766177,0.12766177,0.12766177
0.036,0.213,0.14267188,0.14267188,0.14267188,0.14267188
0.04,0.227,0.16931916,0.16931916,0.16931916,0.16931916
0.042,0.235,0.18401027,0.18401027,0.18401027,0.18401027
0.044,0.242,0.19282446,0.19282446,0.19282446,0.19282446
0.045,0.245,0.19008813,0.19008813,0.19008813,0.19008813
0.046,0.249,0.18863089,0.18863089,0.18863089,0.18863089
0.048,0.256,0.19943524,0.19943524,0.19943524,0.19943524
0.05,0.262,0.20102238,0.20102238,0.20102238,0.20102238
0.055,0.277,0.25164344,0.25164344,0.25164344,0.25164344
0.06,0.29,0.21538903,0.21538903,0.21538903,0.21538903
0.065,0.301,0.19910315,0.19910315,0.19910315,0.19910315
0.067,0.305,0.18745306,0.18745306,0.18745306,0.18745306
0.07,0.31,0.18075995,0.18075995,0.18075995,0.18075995
0.075,0.318,0.17021738,0.17021738,0.17021738,0.17021738
0.08,0.324,0.18159887,0.18159887,0.18159887,0.18159887
0.085,0.328,0.18014214,0.18014214,0.18014214,0.18014214
0.09,0.331,0.17702274,0.17702274,0.17702274,0.17702274
0.095,0.333,0.17840258,0.17840258,0.17840258,0.17840258
0.1,0.334,0.17193245,0.17193245,0.17193245,0.17193245
0.11,0.333,0.17988898,0.17988898,0.17988898,0.17988898
0.12,0.329,0.17650244,0.17650244,0.17650244,0.17650244
0.13,0.323,0.17645641,0.17645641,0.17645641,0.17645641
0.133,0.321,0.18202608,0.18202608,0.18202608,0.18202608
0.14,0.316,0.19410304,0.19410304,0.19410304,0.19410304
0.15,0.308,0.14770045,0.14770045,0.14770045,0.14770045
0.16,0.299,0.14123559,0.14123559,0.14123559,0.14123559
0.17,0.291,0.12344012,0.12344012,0.12344012,0.12344012
0.18,0.282,0.1168454,0.1168454,0.1168454,0.1168454
0.19,0.273,0.12432963,0.12432963,0.12432963,0.12432963
0.2,0.264,0.11746536,0.11746536,0.11746536,0.11746536
0.22,0.248,0.1385886,0.1385886,0.1385886,0.1385886
0.24,0.233,0.12796273,0.12796273,0.12796273,0.12796273
0.25,0.226,0.12634972,0.12634972,0.12634972,0.12634972
0.26,0.219,0.14766881,0.14766881,0.14766881,0.14766881
0.28,0.206,0.14377192,0.14377192,0.14377192,0.14377192
0.29,0.201,0.13755207,0.13755207,0.13755207,0.13755207
0.3,0.195,0.1427267,0.1427267,0.1427267,0.1427267
0.32,0.185,0.12537706,0.12537706,0.12537706,0.12537706
0.34,0.175,0.10773504,0.10773504,0.10773504,0.10773504
0.35,0.171,0.10064346,0.10064346,0.10064346,0.10064346
0.36,0.167,0.10057553,0.10057553,0.10057553,0.10057553
0.38,0.159,0.12715538,0.12715538,0.12715538,0.12715538
0.4,0.151,0.13246548,0.13246548,0.13246548,0.13246548
0.42,0.144,0.12206668,0.12206668,0.12206668,0.12206668
0.44,0.138,0.11514687,0.11514687,0.11514687,0.11514687
0.45,0.135,0.10292812,0.10292812,0.10292812,0.10292812
0.46,0.132,0.09126736,0.09126736,0.09126736,0.09126736
0.48,0.127,0.08687878,0.08687878,0.08687878,0.08687878
0.5,0.121,0.09689874,0.09689874,0.09689874,0.09689874
0.55,0.11,0.11349218,0.11349218,0.11349218,0.11349218
0.6,0.099,0.11575989,0.11575989,0.11575989,0.11575989
0.65,0.09,0.1176976,0.1176976,0.1176976,0.1176976
0.667,0.088,0.11786714,0.11786714,0.11786714,0.11786714
0.7,0.083,0.10827233,0.10827233,0.10827233,0.10827233
0.75,0.076,0.11678988,0.11678988,0.11678988,0.11678988
0.8,0.069,0.11257784,0.11257784,0.11257784,0.11257784
0.85,0.064,0.0899345,0.0899345,0.0899345,0.0899345
0.9,0.059,0.07445545,0.07445545,0.07445545,0.07445545
0.95,0.055,0.07283246,0.07283246,0.07283246,0.07283246
1.0,0.051,0.0801619,0.0801619,0.0801619,0.0801619
1.1,0.044,0.09751844,0.09751844,0.09751844,0.09751844
1.2,0.039,0.08497541,0.08497541,0.08497541,0.08497541
1.3,0.034,0.07083349,0.07083349,0.07083349,0.07083349
1.4,0.031,0.057833,0.057833,0.057833,0.057833
1.5,0.028,0.06660739,0.06660739,0.06660739,0.06660739
1.6,0.025,0.07614576,0.07614576,0.07614576,0.07614576
1.7,0.023,0.07744989,0.07744989,0.07744989,0.07744989
1.8,0.021,0.07158375,0.07158375,0.07158375,0.07158375
1.9,0.019,0.06099744,0.06099744,0.06099744,0.06099744
2.0,0.018,0.05233543,0.05233543,0.05233543,0.05233543
2.2,0.015,0.03606774,0.03606774,0.03606774,0.03606774
2.4,0.013,0.02535497,0.02535497,0.02535497,0.02535497
2.5,0.012,0.02078241,0.02078241,0.02078241,0.02078241
2.6,0.012,0.01692167,0.01692167,0.01692167,0.01692167
2.8,0.01,0.01321389,0.01321389,0.01321389,0.01321389
3.0,0.009,0.01067064,0.01067064,0.01067064,0.01067064
3.2,0.008,0.00877428,0.00877428,0.00877428,0.00877428
3.4,0.008,0.0074632,0.0074632,0.0074632,0.0074632
3.5,0.007,0.00707704,0.00707704,0.00707704,0.00707704
3.6,0.007,0.00690872,0.00690872,0.00690872,0.00690872
3.8,0.006,0.0063645,0.0063645,0.0063645,0.0063645
4.0,0.006,0.00571827,0.00571827,0.00571827,0.00571827
4.2,0.005,0.00517089,0.00517089,0.00517089,0.00517089
4.4,0.005,0.00471217,0.00471217,0.00471217,0.00471217
4.6,0.005,0.00418564,0.00418564,0.00418564,0.00418564
4.8,0.004,0.00389828,0.00389828,0.00389828,0.00389828
5.0,0.004,0.00372259,0.00372259,0.00372259,0.00372259
5.5,0.0,0.00320757,0.00320757,0.00320757,0.00320757
6.0,0.0,0.0026912,0.0026912,0.0026912,0.0026912
6.5,0.0,0.00223835,0.00223835,0.00223835,0.00223835
7.0,0.0,0.00186206,0.00186206,0.00186206,0.00186206
7.5,0.0,0.00155736,0.00155736,0.00155736,0.00155736
8.0,0.0,0.00131368,0.00131368,0.00131368,0.00131368
8.5,0.0,0.00111829,0.00111829,0.00111829,0.00111829
9.0,0.0,0.00096182,0.00096182,0.00096182,0.00096182
9.5,0.0,0.00083526,0.00083526,0.00083526,0.00083526
10.0,0.0,0.00073176,0.00073176,0.00073176,0.00073176
