
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2019-12-30


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 3.5
Magnitude Max:, 3.7
Rrup Min (km):, 10.0
Rrup Max (km):, 30.0
Rjb Min (km):, 10.0
Rjb Max (km):, 30.0
Vs30 Min (m/sec):, 600.0
Vs30 Max (m/sec):, 900.0
D9-95 Min (sec):, 5.0
D9-95 Max (sec):, 95.0
Scale Factor Min:, 0.1
Scale Factor Max:, 10.0
Period Array:, 0.1,1,10
Weight Array:, 1,1,1
Record Sequence Number:, 
Earthquake Name:, 9644101
Station Name:, 
User-Defined Maximum Number of Records:, 100
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 15977, 0.3568, 5.2706, -, 1.8, 9.0, 0.0, "9644101", 2001, "Pleasants Peak", 3.64, strike slip, 12.56, 12.67, 699.0, 0.1375, 5.2706, RSN15977_9644101_CIPLSHHN.AT2, RSN15977_9644101_CIPLSHHE.AT2 , RSN15977_9644101_CIPLSHHZ.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-15977 RotD50 pSa (g)
0.01,0.009,0.00964294,0.00964294,0.00964294,0.00964294
0.02,0.01,0.00957602,0.00957602,0.00957602,0.00957602
0.022,0.011,0.00959196,0.00959196,0.00959196,0.00959196
0.025,0.011,0.00962513,0.00962513,0.00962513,0.00962513
0.029,0.012,0.00969347,0.00969347,0.00969347,0.00969347
0.03,0.012,0.00971435,0.00971435,0.00971435,0.00971435
0.032,0.013,0.0097569,0.0097569,0.0097569,0.0097569
0.035,0.014,0.00983915,0.00983915,0.00983915,0.00983915
0.036,0.014,0.00988223,0.00988223,0.00988223,0.00988223
0.04,0.015,0.01004525,0.01004525,0.01004525,0.01004525
0.042,0.015,0.01011456,0.01011456,0.01011456,0.01011456
0.044,0.016,0.01020394,0.01020394,0.01020394,0.01020394
0.045,0.016,0.01020319,0.01020319,0.01020319,0.01020319
0.046,0.016,0.0101734,0.0101734,0.0101734,0.0101734
0.048,0.017,0.01031521,0.01031521,0.01031521,0.01031521
0.05,0.017,0.01019622,0.01019622,0.01019622,0.01019622
0.055,0.018,0.01114961,0.01114961,0.01114961,0.01114961
0.06,0.019,0.01205691,0.01205691,0.01205691,0.01205691
0.065,0.02,0.01193129,0.01193129,0.01193129,0.01193129
0.067,0.02,0.01208132,0.01208132,0.01208132,0.01208132
0.07,0.02,0.01308593,0.01308593,0.01308593,0.01308593
0.075,0.021,0.01391996,0.01391996,0.01391996,0.01391996
0.08,0.021,0.01359552,0.01359552,0.01359552,0.01359552
0.085,0.021,0.01292315,0.01292315,0.01292315,0.01292315
0.09,0.022,0.01379155,0.01379155,0.01379155,0.01379155
0.095,0.022,0.01529861,0.01529861,0.01529861,0.01529861
0.1,0.022,0.01671516,0.01671516,0.01671516,0.01671516
0.11,0.022,0.0187807,0.0187807,0.0187807,0.0187807
0.12,0.022,0.02118929,0.02118929,0.02118929,0.02118929
0.13,0.021,0.02108127,0.02108127,0.02108127,0.02108127
0.133,0.021,0.02041401,0.02041401,0.02041401,0.02041401
0.14,0.021,0.01890972,0.01890972,0.01890972,0.01890972
0.15,0.02,0.01727224,0.01727224,0.01727224,0.01727224
0.16,0.02,0.02119919,0.02119919,0.02119919,0.02119919
