
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2019-12-30


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 7.2
Magnitude Max:, 7.4
Rrup Min (km):, 10.0
Rrup Max (km):, 30.0
Rjb Min (km):, 10.0
Rjb Max (km):, 30.0
Vs30 Min (m/sec):, 600.0
Vs30 Max (m/sec):, 900.0
D9-95 Min (sec):, 5.0
D9-95 Max (sec):, 95.0
Scale Factor Min:, 0.1
Scale Factor Max:, 10.0
Period Array:, 0.1,1,10
Weight Array:, 1,1,1
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 100
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 1633, 0.0558, 0.6673, -, 10.8, 29.1, 7.5, "Manjil_ Iran", 1990, "Abbar", 7.37, strike slip, 12.55, 12.55, 723.95, 0.13, 0.6673, RSN1633_MANJIL_ABBAR--L.AT2, RSN1633_MANJIL_ABBAR--T.AT2 , RSN1633_MANJIL_ABBAR--V.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-1633 RotD50 pSa (g)
0.01,0.325,0.35261053,0.35261053,0.35261053,0.35261053
0.02,0.337,0.35430357,0.35430357,0.35430357,0.35430357
0.022,0.342,0.36779738,0.36779738,0.36779738,0.36779738
0.025,0.35,0.39981106,0.39981106,0.39981106,0.39981106
0.029,0.362,0.41033981,0.41033981,0.41033981,0.41033981
0.03,0.365,0.41838559,0.41838559,0.41838559,0.41838559
0.032,0.372,0.41701287,0.41701287,0.41701287,0.41701287
0.035,0.384,0.37721781,0.37721781,0.37721781,0.37721781
0.036,0.388,0.37842243,0.37842243,0.37842243,0.37842243
0.04,0.404,0.37548153,0.37548153,0.37548153,0.37548153
0.042,0.413,0.38718513,0.38718513,0.38718513,0.38718513
0.044,0.422,0.39771294,0.39771294,0.39771294,0.39771294
0.045,0.426,0.39999485,0.39999485,0.39999485,0.39999485
0.046,0.431,0.41066787,0.41066787,0.41066787,0.41066787
0.048,0.44,0.45054395,0.45054395,0.45054395,0.45054395
0.05,0.449,0.48153266,0.48153266,0.48153266,0.48153266
0.055,0.472,0.6039609,0.6039609,0.6039609,0.6039609
0.06,0.494,0.66817438,0.66817438,0.66817438,0.66817438
0.065,0.517,0.76173939,0.76173939,0.76173939,0.76173939
0.067,0.526,0.76750187,0.76750187,0.76750187,0.76750187
0.07,0.539,0.74738825,0.74738825,0.74738825,0.74738825
0.075,0.559,0.77653898,0.77653898,0.77653898,0.77653898
0.08,0.579,0.96272604,0.96272604,0.96272604,0.96272604
0.085,0.598,1.07621514,1.07621514,1.07621514,1.07621514
0.09,0.616,0.96836439,0.96836439,0.96836439,0.96836439
0.095,0.633,0.83243801,0.83243801,0.83243801,0.83243801
0.1,0.648,0.78382966,0.78382966,0.78382966,0.78382966
0.11,0.676,0.93971084,0.93971084,0.93971084,0.93971084
0.12,0.7,1.02011591,1.02011591,1.02011591,1.02011591
0.13,0.72,1.09825603,1.09825603,1.09825603,1.09825603
0.133,0.725,1.16291789,1.16291789,1.16291789,1.16291789
0.14,0.736,1.13500041,1.13500041,1.13500041,1.13500041
0.15,0.748,1.10267649,1.10267649,1.10267649,1.10267649
0.16,0.758,0.9918107,0.9918107,0.9918107,0.9918107
