
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2020-01-03


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 4.0
Magnitude Max:, 4.2
Rrup Min (km):, 10.0
Rrup Max (km):, 15.0
Rjb Min (km):, 10.0
Rjb Max (km):, 15.0
Vs30 Min (m/sec):, 600.0
Vs30 Max (m/sec):, 900.0
D9-95 Min (sec):, 5.0
D9-95 Max (sec):, 95.0
Scale Factor Min:, 0.1
Scale Factor Max:, 10.0
Period Array:, 0.1,1,10
Weight Array:, 1,1,1
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, Atlas Peak
User-Defined Maximum Number of Records:, 100
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 12178, 0.1736, 3.6821, -, 5.3, 10.5, 0.0, "21455182", 2005, "Atlas Peak", 4.14, strike slip, 11.68, 12.85, 652.29, 0.375, 3.6821, RSN12178_40174611_NNAPCHNN.AT2, RSN12178_40174611_NNAPCHNE.AT2 , RSN12178_40174611_NNAPCHNZ.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-12178 SRSS pSa (g)
0.01,0.034,0.02516133,0.02516133,0.02516133,0.02516133
0.02,0.037,0.02484749,0.02484749,0.02484749,0.02484749
0.022,0.039,0.02493306,0.02493306,0.02493306,0.02493306
0.025,0.041,0.02507424,0.02507424,0.02507424,0.02507424
0.029,0.044,0.02499579,0.02499579,0.02499579,0.02499579
0.03,0.045,0.0251235,0.0251235,0.0251235,0.0251235
0.032,0.047,0.02557444,0.02557444,0.02557444,0.02557444
0.035,0.049,0.02575652,0.02575652,0.02575652,0.02575652
0.036,0.05,0.02577412,0.02577412,0.02577412,0.02577412
0.04,0.054,0.02628881,0.02628881,0.02628881,0.02628881
0.042,0.055,0.02738224,0.02738224,0.02738224,0.02738224
0.044,0.057,0.02775845,0.02775845,0.02775845,0.02775845
0.045,0.058,0.02778547,0.02778547,0.02778547,0.02778547
0.046,0.059,0.02799052,0.02799052,0.02799052,0.02799052
0.048,0.06,0.02828727,0.02828727,0.02828727,0.02828727
0.05,0.062,0.02729484,0.02729484,0.02729484,0.02729484
0.055,0.065,0.02989117,0.02989117,0.02989117,0.02989117
0.06,0.068,0.03133277,0.03133277,0.03133277,0.03133277
0.065,0.071,0.03336604,0.03336604,0.03336604,0.03336604
0.067,0.072,0.0330837,0.0330837,0.0330837,0.0330837
0.07,0.073,0.03313144,0.03313144,0.03313144,0.03313144
0.075,0.075,0.03766748,0.03766748,0.03766748,0.03766748
0.08,0.076,0.04129205,0.04129205,0.04129205,0.04129205
0.085,0.077,0.03884603,0.03884603,0.03884603,0.03884603
0.09,0.078,0.03655183,0.03655183,0.03655183,0.03655183
0.095,0.078,0.03697119,0.03697119,0.03697119,0.03697119
0.1,0.079,0.03827645,0.03827645,0.03827645,0.03827645
0.11,0.078,0.0506214,0.0506214,0.0506214,0.0506214
0.12,0.077,0.05550305,0.05550305,0.05550305,0.05550305
0.13,0.076,0.05629434,0.05629434,0.05629434,0.05629434
0.133,0.076,0.05679587,0.05679587,0.05679587,0.05679587
0.14,0.074,0.06166444,0.06166444,0.06166444,0.06166444
0.15,0.073,0.06955493,0.06955493,0.06955493,0.06955493
0.16,0.071,0.06746017,0.06746017,0.06746017,0.06746017
0.17,0.068,0.0637537,0.0637537,0.0637537,0.0637537
0.18,0.066,0.06789051,0.06789051,0.06789051,0.06789051
0.19,0.064,0.07362135,0.07362135,0.07362135,0.07362135
0.2,0.062,0.07247693,0.07247693,0.07247693,0.07247693
0.22,0.058,0.08270989,0.08270989,0.08270989,0.08270989
0.24,0.055,0.09887447,0.09887447,0.09887447,0.09887447
0.25,0.053,0.09202739,0.09202739,0.09202739,0.09202739
0.26,0.052,0.09211506,0.09211506,0.09211506,0.09211506
0.28,0.049,0.09057957,0.09057957,0.09057957,0.09057957
0.29,0.047,0.08643948,0.08643948,0.08643948,0.08643948
0.3,0.046,0.08329819,0.08329819,0.08329819,0.08329819
0.32,0.044,0.07225259,0.07225259,0.07225259,0.07225259
0.34,0.041,0.05587909,0.05587909,0.05587909,0.05587909
0.35,0.04,0.05253002,0.05253002,0.05253002,0.05253002
0.36,0.039,0.05072396,0.05072396,0.05072396,0.05072396
0.38,0.037,0.06073634,0.06073634,0.06073634,0.06073634
0.4,0.036,0.05921525,0.05921525,0.05921525,0.05921525
0.42,0.034,0.0506071,0.0506071,0.0506071,0.0506071
0.44,0.033,0.04305267,0.04305267,0.04305267,0.04305267
0.45,0.032,0.03782739,0.03782739,0.03782739,0.03782739
0.46,0.031,0.03548133,0.03548133,0.03548133,0.03548133
0.48,0.03,0.03328101,0.03328101,0.03328101,0.03328101
0.5,0.029,0.03032253,0.03032253,0.03032253,0.03032253
0.55,0.026,0.02318255,0.02318255,0.02318255,0.02318255
0.6,0.023,0.02109124,0.02109124,0.02109124,0.02109124
0.65,0.021,0.02350495,0.02350495,0.02350495,0.02350495
0.667,0.021,0.02505334,0.02505334,0.02505334,0.02505334
0.7,0.019,0.02476274,0.02476274,0.02476274,0.02476274
0.75,0.018,0.02511203,0.02511203,0.02511203,0.02511203
0.8,0.016,0.01980646,0.01980646,0.01980646,0.01980646
0.85,0.015,0.01676301,0.01676301,0.01676301,0.01676301
0.9,0.014,0.01771364,0.01771364,0.01771364,0.01771364
0.95,0.013,0.01450308,0.01450308,0.01450308,0.01450308
1.0,0.012,0.01401844,0.01401844,0.01401844,0.01401844
1.1,0.01,0.01097006,0.01097006,0.01097006,0.01097006
1.2,0.009,0.00989207,0.00989207,0.00989207,0.00989207
1.3,0.008,0.00834531,0.00834531,0.00834531,0.00834531
1.4,0.007,0.00763196,0.00763196,0.00763196,0.00763196
1.5,0.007,0.00656581,0.00656581,0.00656581,0.00656581
1.6,0.006,0.00621685,0.00621685,0.00621685,0.00621685
1.7,0.005,0.00594744,0.00594744,0.00594744,0.00594744
1.8,0.005,0.00608812,0.00608812,0.00608812,0.00608812
1.9,0.004,0.00577016,0.00577016,0.00577016,0.00577016
2.0,0.004,0.00564807,0.00564807,0.00564807,0.00564807
2.2,0.004,0.00461338,0.00461338,0.00461338,0.00461338
2.4,0.003,0.00360623,0.00360623,0.00360623,0.00360623
2.5,0.003,0.00309931,0.00309931,0.00309931,0.00309931
2.6,0.003,0.00266882,0.00266882,0.00266882,0.00266882
2.8,0.002,0.00202221,0.00202221,0.00202221,0.00202221
3.0,0.002,0.00147735,0.00147735,0.00147735,0.00147735
3.2,0.002,0.00117872,0.00117872,0.00117872,0.00117872
3.4,0.002,0.00100853,0.00100853,0.00100853,0.00100853
3.5,0.002,0.00092707,0.00092707,0.00092707,0.00092707
3.6,0.002,0.00085539,0.00085539,0.00085539,0.00085539
3.8,0.001,0.00073543,0.00073543,0.00073543,0.00073543
4.0,0.001,0.00063002,0.00063002,0.00063002,0.00063002
4.2,0.001,0.00053677,0.00053677,0.00053677,0.00053677
4.4,0.001,0.00046038,0.00046038,0.00046038,0.00046038
4.6,0.001,0.00040509,0.00040509,0.00040509,0.00040509
4.8,0.001,0.00035912,0.00035912,0.00035912,0.00035912
5.0,0.001,0.00032081,0.00032081,0.00032081,0.00032081
5.5,0.0,0.00024853,0.00024853,0.00024853,0.00024853
6.0,0.0,0.00020091,0.00020091,0.00020091,0.00020091
6.5,0.0,0.0001679,0.0001679,0.0001679,0.0001679
7.0,0.0,0.00014257,0.00014257,0.00014257,0.00014257
7.5,0.0,0.00012296,0.00012296,0.00012296,0.00012296
8.0,0.0,0.00010743,0.00010743,0.00010743,0.00010743
8.5,0.0,9.478e-05,9.478e-05,9.478e-05,9.478e-05
9.0,0.0,8.424e-05,8.424e-05,8.424e-05,8.424e-05
9.5,0.0,7.536e-05,7.536e-05,7.536e-05,7.536e-05
10.0,0.0,6.783e-05,6.783e-05,6.783e-05,6.783e-05
11.0,0.0,5.586e-05,5.586e-05,5.586e-05,5.586e-05
12.0,0.0,4.684e-05,4.684e-05,4.684e-05,4.684e-05
13.0,0.0,3.982e-05,3.982e-05,3.982e-05,3.982e-05
14.0,0.0,3.426e-05,3.426e-05,3.426e-05,3.426e-05
15.0,0.0,2.978e-05,2.978e-05,2.978e-05,2.978e-05
20.0,0.0,1.67e-05,1.67e-05,1.67e-05,1.67e-05

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-12178 Horizontal-1 pSa (g),RSN-12178 Horizontal-2 pSa (g),RSN-12178 Vertical pSa (g)
0.01,0.00568689,0.0037887,0.00276
0.02,0.00560276,0.00376118,0.00274
0.022,0.00561957,0.00377783,0.00275
0.025,0.00564256,0.00381232,0.0028
0.029,0.00563861,0.00378003,0.00273
0.03,0.00563776,0.00384322,0.0028
0.032,0.00567333,0.00400677,0.003
0.035,0.00568822,0.00407117,0.00294
0.036,0.00573015,0.00402027,0.00308
0.04,0.00572625,0.00426422,0.00359
0.042,0.00584998,0.00459127,0.00373
0.044,0.00588164,0.00471576,0.00393
0.045,0.00588299,0.00472579,0.00398
0.046,0.00590738,0.00478427,0.00365
0.048,0.00598599,0.00481518,0.00404
0.05,0.0059243,0.00445558,0.00423
0.055,0.00585587,0.00562222,0.00406
0.06,0.00593661,0.00609647,0.00529
0.065,0.00704472,0.00569956,0.00491
0.067,0.00680115,0.00587143,0.00464
0.07,0.00669336,0.00601344,0.00503
0.075,0.00787593,0.00652832,0.00512
0.08,0.0092633,0.00632055,0.00466
0.085,0.00791849,0.00697122,0.00485
0.09,0.00729887,0.00672819,0.00516
0.095,0.00764872,0.00650486,0.00528
0.1,0.00867383,0.00572932,0.00512
0.11,0.01128493,0.00785204,0.0063
0.12,0.01168173,0.00952638,0.00695
0.13,0.01203512,0.00942845,0.00768
0.133,0.01225342,0.00936892,0.00775
0.14,0.01214328,0.01153264,0.00748
0.15,0.01403151,0.01264692,0.00783
0.16,0.01268523,0.01321906,0.00705
0.17,0.01230233,0.01218361,0.0085
0.18,0.01551163,0.00996715,0.0101
0.19,0.01724706,0.0101148,0.00774
0.2,0.01684927,0.01017548,0.00607
0.22,0.01834737,0.01295916,0.0053
0.24,0.02303851,0.01379445,0.00612
0.25,0.02177391,0.01226978,0.00593
0.26,0.02223992,0.01145545,0.00509
0.28,0.02190771,0.01118941,0.00543
0.29,0.02057099,0.01131063,0.00611
0.3,0.01942364,0.01159704,0.00661
0.32,0.01528641,0.01230322,0.00728
0.34,0.01249232,0.00861661,0.00842
0.35,0.01202409,0.00767766,0.00783
0.36,0.01184589,0.00703176,0.00672
0.38,0.01447036,0.00791776,0.00513
0.4,0.01429587,0.00736565,0.00386
0.42,0.01267335,0.00531823,0.00333
0.44,0.01012799,0.00584249,0.0029
