
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2020-01-03


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 0.1,1,10
Weight Array:, 1,1,1
Record Sequence Number:, 13683
Earthquake Name:, 51203773
Station Name:, Lake Herman
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 13683, 0.6128, 2.9453, -, 7.0, 15.0, 0.0, "51203773", 2008, "Lake Herman", 3.96, strike slip, 12.5, 13.43, 652.29, 0.5125, 2.9453, RSN13683_51203773_NCNLHHNN.AT2, RSN13683_51203773_NCNLHHNE.AT2 , RSN13683_51203773_NCNLHHNZ.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-13683 SRSS pSa (g)
0.01,0.023,0.03102579,0.03102579,0.03102579,0.03102579
0.02,0.026,0.03167528,0.03167528,0.03167528,0.03167528
0.022,0.026,0.03195748,0.03195748,0.03195748,0.03195748
0.025,0.028,0.03247556,0.03247556,0.03247556,0.03247556
0.029,0.03,0.03290712,0.03290712,0.03290712,0.03290712
0.03,0.031,0.0331668,0.0331668,0.0331668,0.0331668
0.032,0.032,0.03393368,0.03393368,0.03393368,0.03393368
0.035,0.034,0.03492496,0.03492496,0.03492496,0.03492496
0.036,0.034,0.03548168,0.03548168,0.03548168,0.03548168
0.04,0.037,0.03807367,0.03807367,0.03807367,0.03807367
0.042,0.038,0.039571,0.039571,0.039571,0.039571
0.044,0.039,0.0437912,0.0437912,0.0437912,0.0437912
0.045,0.04,0.04428422,0.04428422,0.04428422,0.04428422
0.046,0.04,0.04429315,0.04429315,0.04429315,0.04429315
0.048,0.041,0.04620841,0.04620841,0.04620841,0.04620841
0.05,0.042,0.05211562,0.05211562,0.05211562,0.05211562
0.055,0.045,0.0546854,0.0546854,0.0546854,0.0546854
0.06,0.047,0.0656714,0.0656714,0.0656714,0.0656714
0.065,0.049,0.08733772,0.08733772,0.08733772,0.08733772
0.067,0.049,0.09388454,0.09388454,0.09388454,0.09388454
0.07,0.05,0.10547689,0.10547689,0.10547689,0.10547689
0.075,0.051,0.11916711,0.11916711,0.11916711,0.11916711
0.08,0.052,0.12593563,0.12593563,0.12593563,0.12593563
0.085,0.053,0.11440571,0.11440571,0.11440571,0.11440571
0.09,0.054,0.10099467,0.10099467,0.10099467,0.10099467
0.095,0.054,0.08601083,0.08601083,0.08601083,0.08601083
0.1,0.054,0.06956584,0.06956584,0.06956584,0.06956584
0.11,0.054,0.04933387,0.04933387,0.04933387,0.04933387
0.12,0.053,0.04342762,0.04342762,0.04342762,0.04342762
0.13,0.052,0.04627294,0.04627294,0.04627294,0.04627294
0.133,0.052,0.04629931,0.04629931,0.04629931,0.04629931
0.14,0.051,0.04626622,0.04626622,0.04626622,0.04626622
0.15,0.05,0.04466704,0.04466704,0.04466704,0.04466704
0.16,0.048,0.04684578,0.04684578,0.04684578,0.04684578
0.17,0.047,0.04586692,0.04586692,0.04586692,0.04586692
