
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2020-01-03


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 7.5
Magnitude Max:, 7.7
Rrup Min (km):, 10.0
Rrup Max (km):, 30.0
Rjb Min (km):, 10.0
Rjb Max (km):, 30.0
Vs30 Min (m/sec):, 400.0
Vs30 Max (m/sec):, 900.0
D9-95 Min (sec):, 5.0
D9-95 Max (sec):, 95.0
Scale Factor Min:, 0.1
Scale Factor Max:, 10.0
Period Array:, 0.1,1,10
Weight Array:, 1,1,1
Record Sequence Number:, 
Earthquake Name:, Kocaeli, Turkey
Station Name:, 
User-Defined Maximum Number of Records:, 50
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 1148, 0.1569, 1.8183, 7.791, 7.7, 11.1, 0.3, "Kocaeli_ Turkey", 1999, "Arcelik", 7.51, strike slip, 10.56, 13.49, 523.0, 0.0875, 1.8183, RSN1148_KOCAELI_ARE000.AT2, RSN1148_KOCAELI_ARE090.AT2 , RSN1148_KOCAELI_AREDWN.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-1148 SRSS pSa (g)
0.01,0.35,0.45429852,0.45429852,0.45429852,0.45429852
0.02,0.361,0.46512594,0.46512594,0.46512594,0.46512594
0.022,0.365,0.47397527,0.47397527,0.47397527,0.47397527
0.025,0.372,0.4633164,0.4633164,0.4633164,0.4633164
0.029,0.384,0.46178515,0.46178515,0.46178515,0.46178515
0.03,0.387,0.48621998,0.48621998,0.48621998,0.48621998
0.032,0.394,0.50714497,0.50714497,0.50714497,0.50714497
0.035,0.404,0.50426132,0.50426132,0.50426132,0.50426132
0.036,0.408,0.49217109,0.49217109,0.49217109,0.49217109
0.04,0.424,0.49337489,0.49337489,0.49337489,0.49337489
0.042,0.432,0.50925284,0.50925284,0.50925284,0.50925284
0.044,0.44,0.50396975,0.50396975,0.50396975,0.50396975
0.045,0.445,0.49415278,0.49415278,0.49415278,0.49415278
0.046,0.449,0.48590418,0.48590418,0.48590418,0.48590418
0.048,0.457,0.48242515,0.48242515,0.48242515,0.48242515
0.05,0.466,0.48484673,0.48484673,0.48484673,0.48484673
0.055,0.488,0.51530244,0.51530244,0.51530244,0.51530244
0.06,0.511,0.62106322,0.62106322,0.62106322,0.62106322
0.065,0.533,0.63131045,0.63131045,0.63131045,0.63131045
0.067,0.542,0.61039933,0.61039933,0.61039933,0.61039933
0.07,0.555,0.62528914,0.62528914,0.62528914,0.62528914
0.075,0.576,0.59378396,0.59378396,0.59378396,0.59378396
0.08,0.596,0.56822547,0.56822547,0.56822547,0.56822547
0.085,0.616,0.54764855,0.54764855,0.54764855,0.54764855
0.09,0.634,0.5503188,0.5503188,0.5503188,0.5503188
0.095,0.652,0.61166113,0.61166113,0.61166113,0.61166113
0.1,0.669,0.65253251,0.65253251,0.65253251,0.65253251
0.11,0.7,0.80611344,0.80611344,0.80611344,0.80611344
0.12,0.726,0.85802914,0.85802914,0.85802914,0.85802914
0.13,0.749,0.98376161,0.98376161,0.98376161,0.98376161
0.133,0.756,1.0255772,1.0255772,1.0255772,1.0255772
0.14,0.769,1.10398135,1.10398135,1.10398135,1.10398135
0.15,0.786,1.3098072,1.3098072,1.3098072,1.3098072
0.16,0.799,1.41943798,1.41943798,1.41943798,1.41943798
0.17,0.81,1.52558293,1.52558293,1.52558293,1.52558293
0.18,0.819,1.29842582,1.29842582,1.29842582,1.29842582
0.19,0.825,1.41732222,1.41732222,1.41732222,1.41732222
0.2,0.83,1.37274444,1.37274444,1.37274444,1.37274444
0.22,0.834,1.01493558,1.01493558,1.01493558,1.01493558
0.24,0.833,0.85439437,0.85439437,0.85439437,0.85439437
0.25,0.832,0.82636594,0.82636594,0.82636594,0.82636594
0.26,0.829,0.91025385,0.91025385,0.91025385,0.91025385
0.28,0.821,0.85894665,0.85894665,0.85894665,0.85894665
0.29,0.816,0.76093214,0.76093214,0.76093214,0.76093214
0.3,0.811,0.67046204,0.67046204,0.67046204,0.67046204
0.32,0.799,0.5724194,0.5724194,0.5724194,0.5724194
0.34,0.786,0.5702893,0.5702893,0.5702893,0.5702893
0.35,0.78,0.57417485,0.57417485,0.57417485,0.57417485
0.36,0.773,0.59110598,0.59110598,0.59110598,0.59110598
0.38,0.759,0.60530403,0.60530403,0.60530403,0.60530403
0.4,0.744,0.56643846,0.56643846,0.56643846,0.56643846
0.42,0.73,0.50270093,0.50270093,0.50270093,0.50270093
0.44,0.715,0.5323581,0.5323581,0.5323581,0.5323581
0.45,0.708,0.53825381,0.53825381,0.53825381,0.53825381
0.46,0.701,0.5266217,0.5266217,0.5266217,0.5266217
0.48,0.687,0.49761355,0.49761355,0.49761355,0.49761355
0.5,0.673,0.48799973,0.48799973,0.48799973,0.48799973
0.55,0.64,0.49757169,0.49757169,0.49757169,0.49757169
0.6,0.61,0.37752549,0.37752549,0.37752549,0.37752549
0.65,0.582,0.39614476,0.39614476,0.39614476,0.39614476
0.667,0.573,0.4158271,0.4158271,0.4158271,0.4158271
0.7,0.556,0.42273251,0.42273251,0.42273251,0.42273251
0.75,0.532,0.40745687,0.40745687,0.40745687,0.40745687
0.8,0.51,0.4514812,0.4514812,0.4514812,0.4514812
0.85,0.49,0.45713162,0.45713162,0.45713162,0.45713162
0.9,0.471,0.40802834,0.40802834,0.40802834,0.40802834
0.95,0.454,0.34294153,0.34294153,0.34294153,0.34294153
1.0,0.438,0.30812514,0.30812514,0.30812514,0.30812514
1.1,0.409,0.27223871,0.27223871,0.27223871,0.27223871
1.2,0.383,0.2964702,0.2964702,0.2964702,0.2964702
1.3,0.359,0.27353356,0.27353356,0.27353356,0.27353356
1.4,0.338,0.25704136,0.25704136,0.25704136,0.25704136
1.5,0.318,0.23003564,0.23003564,0.23003564,0.23003564
1.6,0.3,0.20339901,0.20339901,0.20339901,0.20339901
1.7,0.283,0.19952944,0.19952944,0.19952944,0.19952944
1.8,0.267,0.19920893,0.19920893,0.19920893,0.19920893
1.9,0.252,0.18033436,0.18033436,0.18033436,0.18033436
2.0,0.238,0.15280639,0.15280639,0.15280639,0.15280639
2.2,0.213,0.13322555,0.13322555,0.13322555,0.13322555
2.4,0.191,0.14327013,0.14327013,0.14327013,0.14327013
2.5,0.181,0.15031008,0.15031008,0.15031008,0.15031008
2.6,0.172,0.15193016,0.15193016,0.15193016,0.15193016
2.8,0.156,0.14400749,0.14400749,0.14400749,0.14400749
3.0,0.142,0.14143305,0.14143305,0.14143305,0.14143305
3.2,0.129,0.13840166,0.13840166,0.13840166,0.13840166
3.4,0.118,0.14084319,0.14084319,0.14084319,0.14084319
3.5,0.113,0.143144,0.143144,0.143144,0.143144
3.6,0.109,0.14544434,0.14544434,0.14544434,0.14544434
3.8,0.1,0.16128962,0.16128962,0.16128962,0.16128962
4.0,0.093,0.17665472,0.17665472,0.17665472,0.17665472
4.2,0.086,0.18655987,0.18655987,0.18655987,0.18655987
