
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2019-12-30


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 6.1
Magnitude Max:, 6.3
Rrup Min (km):, 10.0
Rrup Max (km):, 30.0
Rjb Min (km):, 10.0
Rjb Max (km):, 30.0
Vs30 Min (m/sec):, 600.0
Vs30 Max (m/sec):, 900.0
D9-95 Min (sec):, 5.0
D9-95 Max (sec):, 95.0
Scale Factor Min:, 0.1
Scale Factor Max:, 10.0
Period Array:, 0.1,1,10
Weight Array:, 1,1,1
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, TCU076
User-Defined Maximum Number of Records:, 100
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 2627, 0.1705, 0.5357, -, 3.7, 12.5, 1.0, "Chi-Chi_ Taiwan-03", 1999, "TCU076", 6.2, Reverse, 13.04, 14.66, 614.98, 0.07, 0.5511, RSN2627_CHICHI.03_TCU076N.AT2, RSN2627_CHICHI.03_TCU076E.AT2 , RSN2627_CHICHI.03_TCU076V.AT2  
2, RotD50, 3472, 0.056, 1.4095, -, 7.9, 17.6, 0.2, "Chi-Chi_ Taiwan-06", 1999, "TCU076", 6.3, Reverse, 23.84, 25.85, 614.98, 0.055, 1.4501, RSN3472_CHICHI.06_TCU076N.AT2, RSN3472_CHICHI.06_TCU076E.AT2 , RSN3472_CHICHI.06_TCU076V.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-2627 RotD50 pSa (g),RSN-3472 RotD50 pSa (g)
0.01,0.227,0.1899386,0.20378157,0.17703598,0.20330037,0.17657682
0.02,0.243,0.19756752,0.21098668,0.18500185,0.21055059,0.18458445
0.022,0.249,0.20374108,0.2106465,0.19706203,0.21053206,0.1969501
0.025,0.259,0.20610131,0.21488406,0.19767752,0.21470208,0.19750053
0.029,0.274,0.2124441,0.2130662,0.21182382,0.21182291,0.21306529
0.03,0.278,0.21663982,0.21978007,0.21354444,0.21352211,0.21975753
0.032,0.286,0.2311887,0.2457826,0.21746133,0.2170369,0.24534049
0.035,0.3,0.23327789,0.2430639,0.22388587,0.22369157,0.2428642
0.036,0.304,0.23577943,0.24612352,0.22587008,0.22565582,0.24590304
0.04,0.323,0.2492024,0.26278002,0.23632632,0.23598175,0.26242305
0.042,0.332,0.24249872,0.25344771,0.23202273,0.23178971,0.25320773
0.044,0.341,0.24638366,0.26516584,0.22893185,0.22828295,0.26448437
0.045,0.346,0.24785128,0.26736592,0.22976098,0.2290668,0.26663576
0.046,0.351,0.25097919,0.27056018,0.23281532,0.2321245,0.26983388
0.048,0.36,0.24733157,0.25414346,0.24070226,0.2406118,0.25405134
0.05,0.369,0.26231955,0.27724064,0.24820151,0.24780739,0.27683171
0.055,0.391,0.28972825,0.33907831,0.24756068,0.24415756,0.33529893
0.06,0.411,0.27858966,0.29365294,0.26429907,0.26391951,0.29325981
0.065,0.43,0.2997757,0.32569348,0.27592038,0.27491765,0.32463375
0.067,0.438,0.29895225,0.33091183,0.27007934,0.26858824,0.32931626
0.07,0.448,0.28418513,0.3163199,0.2553149,0.25374089,0.31462936
0.075,0.463,0.27234848,0.31721105,0.23383074,0.23081945,0.31387751
0.08,0.477,0.27876193,0.34686995,0.22402693,0.21782685,0.339697
0.085,0.489,0.28562637,0.36274336,0.22490398,0.21735852,0.35389422
0.09,0.499,0.2923682,0.3589978,0.23810498,0.23234434,0.35239206
0.095,0.508,0.30377485,0.38936648,0.2369982,0.22836753,0.37918216
0.1,0.516,0.32296146,0.43848175,0.23787559,0.22420463,0.42171829
0.11,0.526,0.37839795,0.56380294,0.25396286,0.22750859,0.5292873
0.12,0.533,0.43204925,0.6556459,0.28470636,0.2518496,0.6122489
0.13,0.535,0.41374674,0.57893452,0.2956921,0.27475459,0.55273889
0.133,0.536,0.41813772,0.58276282,0.30001769,0.27932878,0.55694666
0.14,0.535,0.39454935,0.52375295,0.29721874,0.28278304,0.50631566
0.15,0.532,0.3675511,0.48685042,0.27748525,0.26423448,0.47086772
0.16,0.527,0.33672332,0.42193009,0.26872364,0.26076592,0.41268071
