
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2019-12-30


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 5.7
Magnitude Max:, 5.8
Rrup Min (km):, 30.0
Rrup Max (km):, 50.0
Rjb Min (km):, 30.0
Rjb Max (km):, 50.0
Vs30 Min (m/sec):, 400.0
Vs30 Max (m/sec):, 800.0
D9-95 Min (sec):, 5.0
D9-95 Max (sec):, 95.0
Scale Factor Min:, 0.1
Scale Factor Max:, 10.0
Period Array:, 0.1,1,10
Weight Array:, 1,1,1
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 100
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 481, 0.2322, 0.8917, -, 7.7, 14.2, 0.0, "Lazio-Abruzzo_ Italy", 1984, "Roccamonfina", 5.8, Normal, 45.47, 47.59, 475.1, 0.5, 0.9561, RSN481_ABRUZZO_ROC-NS.AT2, RSN481_ABRUZZO_ROC-WE.AT2 , RSN481_ABRUZZO_ROC-UP.AT2  
2, RotD50, 4329, 0.146, 0.5731, -, 5.0, 10.2, 0.1, "Potenza_ Italy", 1990, "Rionero In Vulture", 5.8, strike slip, 34.5, 34.74, 574.88, 0.3, 0.6145, RSN4329_POTENZA.P_A-VLT000.AT2, RSN4329_POTENZA.P_A-VLT270.AT2 , RSN4329_POTENZA.P_A-VLT-UP.AT2  
3, RotD50, 4338, 0.3425, 0.7715, -, 16.5, 28.7, 0.0, "Umbria Marche (foreshock)_ Italy", 1997, "Gubbio-Piana", 5.7, Normal, 38.81, 39.02, 492.0, 0.15, 0.8272, RSN4338_UBMARCHE.P_B-GBP000.AT2, RSN4338_UBMARCHE.P_B-GBP090.AT2 , RSN4338_UBMARCHE.P_B-GBP-UP.AT2  
4, RotD50, 4426, 0.2677, 4.2039, -, 28.0, 50.4, 0.0, "Molise-01_ Italy", 2002, "Castiglione Messer Marino", 5.7, strike slip, 31.72, 34.29, 519.0, 0.025, 4.5074, RSN4426_MOLISE.P_A-CMM000.AT2, RSN4426_MOLISE.P_A-CMM270.AT2 ,  -----   
5, RotD50, 4431, 0.5069, 3.707, -, 22.0, 36.5, 0.0, "Molise-01_ Italy", 2002, "San Marco dei Cavoti", 5.7, strike slip, 43.94, 45.55, 519.0, 0.03, 3.9747, RSN4431_MOLISE.P_A-SMC000.AT2, RSN4431_MOLISE.P_A-SMC270.AT2 ,  -----   
6, RotD50, 4434, 0.2586, 3.5578, -, 24.9, 48.2, 0.0, "Molise-02_ Italy", 2002, "Castiglione Messer Marino", 5.7, strike slip, 40.5, 42.81, 519.0, 0.035, 3.8147, RSN4434_MOLISE.P_B-CMM000.AT2, RSN4434_MOLISE.P_B-CMM270.AT2 ,  -----   

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-481 RotD50 pSa (g),RSN-4329 RotD50 pSa (g),RSN-4338 RotD50 pSa (g),RSN-4426 RotD50 pSa (g),RSN-4431 RotD50 pSa (g),RSN-4434 RotD50 pSa (g)
0.01,0.059,0.02965502,0.04345107,0.02023931,0.03268256,0.05284947,0.02609872,0.02575526,0.01719765,0.02334643
0.02,0.063,0.03017301,0.0447063,0.02036426,0.03269813,0.05472803,0.02640999,0.02618993,0.0174948,0.0235172
0.022,0.065,0.03051239,0.04573542,0.02035634,0.03285596,0.05622063,0.02648927,0.02633853,0.01758871,0.02358124
0.025,0.068,0.03092289,0.04683267,0.0204179,0.03342746,0.05766818,0.02652636,0.02658716,0.01763755,0.0236906
0.029,0.072,0.03162603,0.04828861,0.02071308,0.03312505,0.05996953,0.02689389,0.02717084,0.01867866,0.02391823
0.03,0.074,0.03173112,0.04838139,0.02081098,0.03299924,0.06016593,0.02704328,0.02716925,0.01897398,0.02403505
0.032,0.076,0.03202923,0.04869706,0.0210664,0.03311561,0.06058677,0.02726102,0.02762155,0.01933398,0.02425645
0.035,0.08,0.0327951,0.05110939,0.02104347,0.03352543,0.06399991,0.0272301,0.0279292,0.01978205,0.02430393
0.036,0.081,0.033209,0.0525371,0.0209916,0.03347755,0.06609046,0.0271783,0.02772483,0.02009967,0.02468321
0.04,0.087,0.03449782,0.05622914,0.02116517,0.03392234,0.07103026,0.02845402,0.02835498,0.02011041,0.02511488
0.042,0.09,0.03403402,0.05472483,0.02116616,0.03383453,0.06863424,0.02863445,0.02923914,0.0183636,0.02549818
0.044,0.093,0.03513649,0.05751108,0.0214667,0.03427196,0.0724391,0.02892044,0.03005674,0.01897987,0.02615086
0.045,0.094,0.03619338,0.06104275,0.02145973,0.03463706,0.07716575,0.02923362,0.03033783,0.01903872,0.0267473
0.046,0.095,0.03692161,0.06306859,0.02161464,0.03486933,0.0798559,0.02983845,0.03046593,0.01927558,0.02722446
0.048,0.098,0.03831803,0.0683324,0.02148719,0.03487265,0.08674206,0.03054168,0.03093584,0.01943728,0.02737864
0.05,0.101,0.04042232,0.0757337,0.02157512,0.03549641,0.09603364,0.0313275,0.03246817,0.01936575,0.02784243
0.055,0.107,0.04253272,0.07863704,0.02300484,0.03512857,0.09995061,0.03215144,0.03679664,0.0215357,0.02963336
0.06,0.113,0.04570263,0.08876255,0.02353166,0.03609515,0.11283992,0.0314099,0.03749729,0.02386484,0.03250865
0.065,0.118,0.04755583,0.08985597,0.02516868,0.0375116,0.11432619,0.03498496,0.0414892,0.02580805,0.03121496
0.067,0.12,0.04754474,0.08564479,0.02639392,0.03776237,0.10922534,0.03862212,0.04084558,0.02664696,0.03216606
0.07,0.123,0.04861134,0.08985662,0.02629814,0.03919455,0.11412823,0.04331792,0.0387871,0.02639128,0.02984893
0.075,0.126,0.0521501,0.09855192,0.02759594,0.04086746,0.12459023,0.04584303,0.04453789,0.02523997,0.03182203
0.08,0.13,0.05744413,0.11147666,0.02960107,0.04309021,0.14080408,0.04926709,0.04798137,0.02573995,0.03778208
0.085,0.132,0.06064695,0.11084884,0.03318079,0.04451763,0.14016059,0.05475485,0.05327759,0.02854628,0.04262474
0.09,0.134,0.0602045,0.10688871,0.03390987,0.04258375,0.13482774,0.05515034,0.05746238,0.03093799,0.0402648
0.095,0.136,0.06262548,0.10682179,0.03671489,0.04279544,0.13569819,0.05848667,0.05497566,0.03730349,0.04649342
0.1,0.137,0.06724934,0.1217342,0.0371504,0.04342647,0.15532409,0.05659395,0.05758627,0.03984221,0.05072304
0.11,0.138,0.07106047,0.12293312,0.04107592,0.04696773,0.157089,0.05300919,0.06293772,0.04649179,0.05986741
0.12,0.138,0.07531863,0.1422095,0.03989112,0.05998416,0.18129157,0.05165002,0.05621799,0.04105548,0.06171257
0.13,0.137,0.07352518,0.1248134,0.04331227,0.05703529,0.15841628,0.06243191,0.06800861,0.04020157,0.0550574
0.133,0.136,0.07282979,0.12069748,0.04394606,0.0583802,0.15214553,0.06255755,0.07256814,0.04118934,0.05013799
0.14,0.135,0.07245113,0.11807543,0.04445604,0.06386757,0.1471569,0.06120519,0.07560549,0.03906737,0.04780423
0.15,0.133,0.07188414,0.11069369,0.04668134,0.0688334,0.13690838,0.05542073,0.07581938,0.04316504,0.05115791
