
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2020-01-03


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 3.85
Magnitude Max:, 3.99
Rrup Min (km):, 10.0
Rrup Max (km):, 15.0
Rjb Min (km):, 10.0
Rjb Max (km):, 15.0
Vs30 Min (m/sec):, 600.0
Vs30 Max (m/sec):, 900.0
D9-95 Min (sec):, 5.0
D9-95 Max (sec):, 95.0
Scale Factor Min:, 0.1
Scale Factor Max:, 10.0
Period Array:, 0.1,1,10
Weight Array:, 1,1,1
Record Sequence Number:, 
Earthquake Name:, 51203773
Station Name:, 
User-Defined Maximum Number of Records:, 100
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 13683, 0.6678, 2.6001, -, 7.0, 15.0, 0.0, "51203773", 2008, "Lake Herman", 3.96, strike slip, 12.5, 13.43, 652.29, 0.5125, 2.6001, RSN13683_51203773_NCNLHHNN.AT2, RSN13683_51203773_NCNLHHNE.AT2 , RSN13683_51203773_NCNLHHNZ.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-13683 SRSS pSa (g)
0.01,0.02,0.02738891,0.02738891,0.02738891,0.02738891
0.02,0.022,0.02796227,0.02796227,0.02796227,0.02796227
0.022,0.023,0.02821139,0.02821139,0.02821139,0.02821139
0.025,0.024,0.02866874,0.02866874,0.02866874,0.02866874
0.029,0.026,0.02904971,0.02904971,0.02904971,0.02904971
0.03,0.026,0.02927895,0.02927895,0.02927895,0.02927895
0.032,0.027,0.02995594,0.02995594,0.02995594,0.02995594
0.035,0.029,0.03083101,0.03083101,0.03083101,0.03083101
0.036,0.03,0.03132248,0.03132248,0.03132248,0.03132248
0.04,0.032,0.03361063,0.03361063,0.03361063,0.03361063
0.042,0.033,0.03493244,0.03493244,0.03493244,0.03493244
0.044,0.034,0.03865795,0.03865795,0.03865795,0.03865795
0.045,0.034,0.03909317,0.03909317,0.03909317,0.03909317
0.046,0.035,0.03910106,0.03910106,0.03910106,0.03910106
0.048,0.035,0.04079181,0.04079181,0.04079181,0.04079181
0.05,0.036,0.04600657,0.04600657,0.04600657,0.04600657
0.055,0.038,0.04827511,0.04827511,0.04827511,0.04827511
0.06,0.04,0.05797333,0.05797333,0.05797333,0.05797333
0.065,0.042,0.0770999,0.0770999,0.0770999,0.0770999
0.067,0.042,0.08287929,0.08287929,0.08287929,0.08287929
0.07,0.043,0.09311277,0.09311277,0.09311277,0.09311277
0.075,0.044,0.1051982,0.1051982,0.1051982,0.1051982
0.08,0.045,0.11117331,0.11117331,0.11117331,0.11117331
0.085,0.046,0.10099494,0.10099494,0.10099494,0.10099494
0.09,0.046,0.08915596,0.08915596,0.08915596,0.08915596
0.095,0.046,0.07592854,0.07592854,0.07592854,0.07592854
0.1,0.046,0.06141125,0.06141125,0.06141125,0.06141125
0.11,0.046,0.0435509,0.0435509,0.0435509,0.0435509
0.12,0.046,0.03833699,0.03833699,0.03833699,0.03833699
0.13,0.045,0.04084878,0.04084878,0.04084878,0.04084878
0.133,0.045,0.04087205,0.04087205,0.04087205,0.04087205
0.14,0.044,0.04084285,0.04084285,0.04084285,0.04084285
0.15,0.043,0.03943112,0.03943112,0.03943112,0.03943112
0.16,0.042,0.04135446,0.04135446,0.04135446,0.04135446
0.17,0.04,0.04049035,0.04049035,0.04049035,0.04049035
0.18,0.039,0.04593557,0.04593557,0.04593557,0.04593557
0.19,0.038,0.05051388,0.05051388,0.05051388,0.05051388
0.2,0.037,0.04581594,0.04581594,0.04581594,0.04581594
0.22,0.034,0.03932703,0.03932703,0.03932703,0.03932703
0.24,0.032,0.03793158,0.03793158,0.03793158,0.03793158
0.25,0.031,0.03475415,0.03475415,0.03475415,0.03475415
0.26,0.03,0.0324494,0.0324494,0.0324494,0.0324494
0.28,0.029,0.03263502,0.03263502,0.03263502,0.03263502
0.29,0.028,0.03399118,0.03399118,0.03399118,0.03399118
0.3,0.027,0.03402339,0.03402339,0.03402339,0.03402339
0.32,0.026,0.04344655,0.04344655,0.04344655,0.04344655
0.34,0.024,0.05176002,0.05176002,0.05176002,0.05176002
0.35,0.024,0.05361666,0.05361666,0.05361666,0.05361666
0.36,0.023,0.0533087,0.0533087,0.0533087,0.0533087
0.38,0.022,0.05328447,0.05328447,0.05328447,0.05328447
0.4,0.021,0.05479843,0.05479843,0.05479843,0.05479843
0.42,0.02,0.05879288,0.05879288,0.05879288,0.05879288
0.44,0.019,0.06597044,0.06597044,0.06597044,0.06597044
0.45,0.019,0.06843872,0.06843872,0.06843872,0.06843872
0.46,0.018,0.07084148,0.07084148,0.07084148,0.07084148
0.48,0.018,0.07470651,0.07470651,0.07470651,0.07470651
0.5,0.017,0.07424781,0.07424781,0.07424781,0.07424781
0.55,0.015,0.05742171,0.05742171,0.05742171,0.05742171
0.6,0.014,0.04545283,0.04545283,0.04545283,0.04545283
0.65,0.013,0.03627897,0.03627897,0.03627897,0.03627897
0.667,0.012,0.03346686,0.03346686,0.03346686,0.03346686
0.7,0.011,0.02935056,0.02935056,0.02935056,0.02935056
0.75,0.011,0.02338316,0.02338316,0.02338316,0.02338316
0.8,0.01,0.01778529,0.01778529,0.01778529,0.01778529
0.85,0.009,0.01487422,0.01487422,0.01487422,0.01487422
0.9,0.008,0.01236415,0.01236415,0.01236415,0.01236415
0.95,0.008,0.00999021,0.00999021,0.00999021,0.00999021
1.0,0.007,0.00811328,0.00811328,0.00811328,0.00811328
1.1,0.006,0.00553516,0.00553516,0.00553516,0.00553516
1.2,0.005,0.00424122,0.00424122,0.00424122,0.00424122
1.3,0.005,0.00348215,0.00348215,0.00348215,0.00348215
1.4,0.004,0.00295335,0.00295335,0.00295335,0.00295335
1.5,0.004,0.00259962,0.00259962,0.00259962,0.00259962
1.6,0.003,0.00218254,0.00218254,0.00218254,0.00218254
1.7,0.003,0.00187759,0.00187759,0.00187759,0.00187759
1.8,0.003,0.00163545,0.00163545,0.00163545,0.00163545
1.9,0.003,0.00144283,0.00144283,0.00144283,0.00144283
2.0,0.002,0.00127622,0.00127622,0.00127622,0.00127622
2.2,0.002,0.00099936,0.00099936,0.00099936,0.00099936
2.4,0.002,0.00080316,0.00080316,0.00080316,0.00080316
2.5,0.002,0.00073188,0.00073188,0.00073188,0.00073188
2.6,0.002,0.00067433,0.00067433,0.00067433,0.00067433
2.8,0.001,0.00058746,0.00058746,0.00058746,0.00058746
3.0,0.001,0.00054253,0.00054253,0.00054253,0.00054253
3.2,0.001,0.00046916,0.00046916,0.00046916,0.00046916
3.4,0.001,0.00041822,0.00041822,0.00041822,0.00041822
3.5,0.001,0.00039424,0.00039424,0.00039424,0.00039424
3.6,0.001,0.00037163,0.00037163,0.00037163,0.00037163
