time;latitude;longitude;depth;mag;magType;nst;gap;dmin;rms;net;id;updated;place;type;horizontalError;depthError;magError;magNst;status;locationSource;magSource
2019-10-10T16:52:03.151Z;40.7283;29.2125;10;4.3;mb;;55;1.272;0.69;us;us70005t3c;2019-11-08T22:28:53.451Z;9km NNW of Yalova, Turkey;earthquake;3.7;1.9;0.306;3;reviewed;us;us
2019-09-26T20:20:18.595Z;40.8151;28.1964;10;4.3;mb;;46;1.632;0.56;us;us70005lyy;2019-12-20T19:02:59.040Z;26km SE of Marmaraereglisi, Turkey;earthquake;5.4;2;0.308;3;reviewed;us;us
2019-09-26T20:02:41.002Z;40.849;28.1699;10;4.5;mb;;73;1.611;1.01;us;us70005s19;2019-12-20T19:04:23.040Z;22km SE of Marmaraereglisi, Turkey;earthquake;5.7;1.9;0.542;1;reviewed;us;us
2019-09-26T11:26:37.619Z;40.8568;28.1814;10;4.4;mb;;56;1.619;0.81;us;us70005ll1;2019-12-20T19:02:49.040Z;22km ESE of Marmaraereglisi, Turkey;earthquake;5.6;1.9;0.19;8;reviewed;us;us
2019-09-26T10:59:25.648Z;40.9035;28.1502;8;5.7;mww;;19;1.595;0.9;us;us70005lkl;2019-12-20T19:02:48.040Z;18km ESE of Marmaraereglisi, Turkey;earthquake;5.2;1.8;0.033;88;reviewed;us;us
2019-09-24T08:00:24.160Z;40.8578;28.1454;10;4.9;mb;;39;1.592;1.23;us;us60005mmr;2019-12-20T19:02:02.040Z;20km SE of Marmaraereglisi, Turkey;earthquake;5.1;1.9;0.067;70;reviewed;us;us
2019-06-02T13:08:47.500Z;40.7824;30.7838;5.39;4.5;mwr;;27;0.442;0.37;us;us70003uej;2019-08-24T21:17:49.040Z;3km ESE of Hendek, Turkey;earthquake;4.1;5.1;0.071;19;reviewed;us;us
2019-04-12T13:03:48.107Z;40.7066;30.6426;10;4.4;mb;;53;0.483;0.87;us;us700034ym;2019-06-20T19:03:24.040Z;2km NE of Akyazi, Turkey;earthquake;5.2;1.9;0.117;21;reviewed;us;us
2019-02-19T21:33:56.760Z;40.375;27.0809;10;4.1;mb;;34;0.938;1.09;us;us2000jk8x;2019-05-11T17:40:41.040Z;21km NW of Biga, Turkey;earthquake;5.1;2;0.37;2;reviewed;us;us
2019-01-11T16:09:57.480Z;40.1781;28.7761;10;3.4;ml;;85;0.547;1.38;us;us2000j32l;2019-04-02T20:52:12.040Z;23km SSW of Mudanya, Turkey;earthquake;4;2;0.085;18;reviewed;us;us
